评论时间,IP,用户ID,昵称,评论,评分,lr_probabilities,nn_probabilities,combined_probabilities,sentiment
1724774400,河南,257407d3-910a-46a9-a59a-0e25f4501618,捶小黑子,同程买联票方便，价格也实惠。📍开车自驾游：直接搜“老君山13号停车坪，离一级索道最近，离开只需10元停车费，进门需要验票，提前准备好身份证”。一级索道上去，到中天门，可以选择二级索道或步行，老君山上面道路盘山修建，比较好上金顶，路上山顶都有卖吃的，价格比平时贵不了几块钱，没必要带吃喝食物。老君山风景很好，值得你来游玩一番,10,[0.00925372 0.99074628],[0.03961498 0.960385  ],[0.02139822 0.97860179],1
1734192000,河南,617fcab8-b3b7-4ddb-aa91-3c930b9b928a,同程会员_63E40656DBE,导游全程热情服务，讲解生动有趣，专业知识丰富，让我们深入了解了老君山的文化底蕴和历史传说，整个行程有条不紊，体验感超棒。购票过程十分便捷，线上线下的指引都清晰明了，工作人员耐心解答疑问，没有出现任何拥堵或混乱情况，快速拿到门票开启愉快旅程。而老君山的景色更是令人陶醉！峰林险峻壮美，十里画屏一步一景，栈道蜿蜒曲折，行走其间仿佛置身于山水画卷之中，每一处都震撼人心，让人流连忘返。这一趟老君山之旅，满足了我对美景的所有期待，真心推荐给大家！,10,[7.23565215e-06 9.99992764e-01],[2.9605627e-04 9.9970394e-01],[1.22763902e-04 9.99877230e-01],1
1734192000,河南,f9de2b68-4ba7-420a-9bee-e74a55b9c114,同程会员_34844331ED8,非常棒的老君山体验，导游美女姐姐非常贴心，讲解超好，老君山真的太好看了，非常值得来！,10,[7.13546134e-04 9.99286454e-01],[0.00220716 0.99779284],[0.00131099 0.99868901],1
1683216000,山东,d61fba35-fe55-4d9b-864f-4bffb9a9b0d8,同程会员_4C6CDF07DCC,五一假期去的，人超级多，景区很大，全程走路超累，我们好在提前订了套票，还是很划算的，如果行程紧，索道往返，可以省下不少时间，也不会很累。可以订一级索道周边的民宿（民宿很多，都不错，凭心意选择就好啦），这样能早点上山或者太累了下山休息，次日再走也不错。十里画屏景色很好，心旷神怡。游玩路线是单行线，逛完一圈儿，累了可以坐滑道下来，再坐索道。可以自带食物上山，山上有服务区休息，也可以景区购买，挺方便的。索道最好早点儿排队，不然要等好久。山上温差大，需要注意下。,10,[7.46343785e-04 9.99253656e-01],[0.02231008 0.9776899 ],[0.00937184 0.99062816],1
1673107200,河南,1d347bc8-8db3-4c27-9a5a-e90158164188,同程会员_8A3F60D9E3B,选择在2023年元旦去的，人特别多，刚好赶上老君山下雪，风景很美，值得推荐的地方。,10,[0.00715208 0.99284792],[0.06061608 0.9393839 ],[0.02853768 0.97146234],1
1728489600,河南,9ee1b55b-98e7-48c4-9ea4-bbc584e45c07,同程会员_3CC1B0DB675,推荐推荐 超级推荐来玩 打卡老君山 ,10,[0.11821317 0.88178683],[0.14424002 0.85576   ],[0.12862392 0.87137609],1
1674662400,河南,4f236d5b-59ed-484d-817f-2ed24cfd79e8,同程会员_A7ECEDABF2E,总体满意，虽然是春节假期，我们冒着人满为患的风险，按照自己的时间规划完美错过人流高峰，顺利入园，一二级索道上行以及一级索道下行都在十分钟内完成，效率很高。二级索道下行时排队人多，果断步行下山到一级索道。整个游玩儿过程顺利通畅。景区管理比较规范，工作人员很多，都会认真热情地解答问题，面对巨大的客流，景区比较干净，这背后一定有更多的工作人员放弃节日休息，致敬。山下是冬天的正常温度，今天最高4度；一级索道到达中天门后，温度骤降，风也大起来，到达金顶后更冷了，风也更大。天气转暖前来玩一定多穿衣服，必备帽子、手套。春节期间完美的旅行，再见了栾川，再见老君山。,10,[0.05274156 0.94725844],[0.13861871 0.8613813 ],[0.08709242 0.91290758],1
1695916800,河南,0352896f-28f4-44e6-ad57-d293e0ae7cfb,哒哒418,千万千万不要雨天上山，昨天和明天有雨的也不要上山，否则山上是雾是云海，全看运气，大概率是雾。天气预报是阴转小雨，我们11点半上山，没有坐二道索道，3点要到山顶时就开始起雾，到了十里画屏开始下雨，雾曾短时间（10分钟左右）散过，但很快又起雾。到云顶天宫时，又是雨又是雾，啥也看不了，我们很快就下山了。下图是雾短时散去时拍的。,6,[0.02634007 0.97365993],[0.11448485 0.88551515],[0.06159798 0.93840201],1
1681574400,河南,d33e1d49-09c6-4168-9b07-5601229dbf6d,鸡哔你,人太多，人太多，人太多。错峰出行，全部都是人挤人，体验感不好。坐第一段索道需要排队1个多小时，坐第二段索道需要排队40分钟。目前树木都是枯枝烂叶，没有绿意盎然的生机，风景和拍照都一般般啦！金殿还在装修中！,6,[0.62383776 0.37616224],[0.49883318 0.5011668 ],[0.57383592 0.42616408],0
1691769600,河南,0dda830d-5974-4314-84a4-a16008b804a2,热心市民小王,风景很好，套餐也很划算，比分开买便宜的多,10,[0.02465106 0.97534894],[0.01650023 0.98349977],[0.02139073 0.97860929],1
1674662400,河南,02c370ec-6c87-4780-bcfe-c0bba540c6e4,同程会员_DBA44451132,风景很不错，就是人比较多，有点挤,6,[0.00323688 0.99676312],[0.00359821 0.9964018 ],[0.00338141 0.99661861],1
1697299200,河南,2fc08449-93d3-4783-96ae-cefddbb2cd60,金木水火土,景色特别美，满山的红叶刚刚变红！,10,[1.26484757e-05 9.99987352e-01],[7.671118e-04 9.992329e-01],[3.14433797e-04 9.99685572e-01],1
1719849600,河南,57062851-51fa-4ce5-a4eb-306988bd22d3,FE9D66AAD8330CF0,我们迷路，杨导游帮我们解决问题，谢谢他老君山太仙境了，拍不了的仙境，太漂亮了,10,[0.00106801 0.99893199],[0.01768887 0.9823111 ],[0.00771635 0.99228365],1
1730390400,河南,56080436-7c86-4736-ace7-c5276b711c4d,同程会员_43ADCCA5296,没人说3点半后就不能爬了啊，门票白买，进门就走,3,[0.5957131 0.4042869],[0.7983757  0.20162427],[0.67677816 0.32322185],-1
1713801600,未知,8aced606-12c1-41cc-b0df-b89b98560b51,同程会员_41F2EA44CCA,景色真的超美，超好看！而且步道比较平缓，真的不咋累，可以欣赏美景。导游小李也很细心，各个事项都说的很详细，点赞！,10,[7.94085092e-05 9.99920591e-01],[0.00116926 0.99883074],[5.15350850e-04 9.99484643e-01],1
